id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
5740,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
12,0.388363861,0.254601068,0.218444552,0.011095425,0.122214255,0.005280838
105,0.401432079,0.271256645,0.149301814,0.004724306,0.172842811,0.000442346
3825,0.426799436,0.258895952,0.19283631,0.007463504,0.109259674,0.004745124
1533,0.435954467,0.243017492,0.173271674,0.008143648,0.135058446,0.004554274
1228,0.38902258,0.252683593,0.195908607,0.007648452,0.152131815,0.002604953
10623,0.402863293,0.293506772,0.17544464,0.0018628,0.125730431,0.000592063
521,0.414157086,0.234606373,0.210749374,0.007471385,0.132523718,0.000492063
23700,0.424972234,0.268687053,0.171262211,0.006299948,0.125612249,0.003166306
18269,0.44274606,0.262619109,0.159362443,0.012595408,0.122073805,0.000603175
5827,0.406632864,0.236575721,0.175202725,0.012920917,0.166991277,0.001676496
14591,0.393884842,0.265591159,0.18884754,0.007133303,0.143900811,0.000642346
1600,0.135283397,0.052581642,0.387540607,0.260621963,0.136754024,0.027218367
3300,0.411863803,0.247020266,0.24300162,0.005902058,0.089052729,0.003159524
23,0.375947714,0.269969943,0.159439692,0.011693973,0.181459788,0.001488889
26,0.411328561,0.278174257,0.184049099,0.010601821,0.115229198,0.000617063
3090,0.421680676,0.249989674,0.17474538,0.014652794,0.134056079,0.004875397
15272,0.389715494,0.305521597,0.149400697,0.008096179,0.146862858,0.000403175
35,0.229855139,0.599216782,0.081976961,0.004577766,0.083948353,0.000425
398,0.368098868,0.284183192,0.193653306,0.005001682,0.148353484,0.000709468
1946,0.425547541,0.240237702,0.1905735,0.004022009,0.137268851,0.002350397
2413,0.326304982,0.212395711,0.150007667,0.203844752,0.102038164,0.005408724
15399,0.398659494,0.256945001,0.157574207,0.009434984,0.176497425,0.000888889
10,0.366786132,0.320597364,0.165417871,0.003392658,0.140051167,0.003754809
766,0.365027948,0.226171066,0.160458441,0.016751892,0.230092637,0.001498016
17489,0.428825777,0.257092531,0.174592352,0.004045466,0.134925316,0.000518559
11339,0.382492864,0.267565392,0.20419165,0.015112466,0.12779874,0.002838889
21700,0.438877554,0.242768139,0.162695901,0.014355567,0.140244381,0.001058457
815,0.381864058,0.259845489,0.180755274,0.012451524,0.160595651,0.004488004
3800,0.351125463,0.214215973,0.211043438,0.020226095,0.196687643,0.006701389
164,0.424316683,0.281850355,0.17090731,0.006941547,0.114367799,0.001616306
203,0.425012356,0.253073888,0.194314211,0.013587019,0.113587129,0.000425397
2097,0.410646405,0.250586834,0.139614898,0.008649556,0.188413936,0.00208837
236,0.411917854,0.269241384,0.148184411,0.011634309,0.158244264,0.000777778
1934,0.38968131,0.270810167,0.216302398,0.004577864,0.116288129,0.002340131
23042,0.425115591,0.269881569,0.200573992,0.004022992,0.097486015,0.002919841
37134,0.432834283,0.212606955,0.23476375,0.008053722,0.11086561,0.000875679
25305,0.448136498,0.243841577,0.171488731,0.011666781,0.123807683,0.00105873
308,0.40964449,0.282335119,0.197661924,0.006331433,0.103018022,0.001009013
5131,0.299689468,0.167051669,0.372103922,0.021255467,0.135362684,0.00453679
113,0.430561646,0.241809354,0.181458107,0.015153867,0.128639248,0.002377778
3600,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
1514,0.159548974,0.064784559,0.379597023,0.246123535,0.130236461,0.019709449
20203,0.38456036,0.199115367,0.260098521,0.004707702,0.14858016,0.002937889
215,0.422623007,0.228849795,0.183367669,0.016114295,0.148165233,0.00088
12116,0.431850688,0.257375496,0.181046937,0.005899711,0.122707045,0.001120124
24869,0.41053625,0.267763166,0.161354912,0.013665341,0.143243824,0.003436508
121,0.300794233,0.153332043,0.151115036,0.297122411,0.092153187,0.005483089
103,0.381864455,0.262133976,0.166827104,0.011530868,0.176143597,0.0015
8525,0.322739933,0.201655052,0.211896626,0.049352008,0.208275561,0.00608082
921,0.347959828,0.179230971,0.194036369,0.054393415,0.220224746,0.004154671
9662,0.39802297,0.249242287,0.193522791,0.011190332,0.145341155,0.002680464
1837,0.439301365,0.250492046,0.200780483,0.004488642,0.104130038,0.000807425
1322,0.380340936,0.300295404,0.153983742,0.007699409,0.156777334,0.000903175
34206,0.432400165,0.246417245,0.18885074,0.007328146,0.122953704,0.00205
35123,0.306162342,0.192949978,0.342303921,0.030109194,0.124638058,0.003836508
35690,0.384075924,0.289497944,0.16668777,0.005549267,0.153685919,0.000503175
35018,0.410676327,0.277263211,0.169628994,0.006298094,0.135408382,0.000724992
2707,0.42240451,0.279804881,0.174393701,0.004256214,0.114331964,0.00480873
26225,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
29728,0.382239575,0.31483696,0.166365101,0.002825351,0.132421506,0.001311508
7700,0.415493518,0.262507264,0.193887213,0.004863739,0.122822869,0.000425397
12242,0.31560021,0.179824201,0.342158643,0.032158329,0.123638493,0.006620124
61,0.40121962,0.234955146,0.205674056,0.011912177,0.140689001,0.00555
2527,0.201369963,0.111392033,0.15060475,0.312799257,0.217955074,0.005878923
1254,0.390236404,0.285442444,0.173346659,0.009416285,0.140418922,0.001139286
22788,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
31591,0.335091449,0.173703008,0.127136067,0.008319505,0.352217347,0.003532624
36976,0.408802562,0.284906149,0.167939157,0.008216059,0.129241232,0.000894841
25717,0.414350652,0.24127186,0.181495828,0.016655565,0.14218452,0.004041575
2388,0.404495613,0.284686294,0.160036498,0.00607207,0.141156349,0.003553175
25716,0.447391447,0.240883276,0.17692029,0.005328073,0.128201235,0.001275679
209,0.452370546,0.260714377,0.159155445,0.002915975,0.12023572,0.004607937
14838,0.409956328,0.239530254,0.174357007,0.01067635,0.161932159,0.003547902
9800,0.472388308,0.230934017,0.183229629,0.007359076,0.105508018,0.000580952
2500,0.40455584,0.289008755,0.154706294,0.009885785,0.140987092,0.000856235
3176,0.401609259,0.290499878,0.183230085,0.005357411,0.117289081,0.002014286
10802,0.35150008,0.206260102,0.321650374,0.01030561,0.106210739,0.004073096
10636,0.431501022,0.250605376,0.17551371,0.008955163,0.132321553,0.001103175
2638,0.407317812,0.273410774,0.15986439,0.008074016,0.149535106,0.001797902
160,0.464582719,0.26852773,0.161606169,0.00410105,0.100612491,0.000569841
1524,0.442727653,0.138579009,0.237829576,0.019027076,0.158561396,0.003275289
37864,0.446298789,0.218561114,0.183876674,0.015904659,0.130777812,0.004580952
16433,0.275985022,0.120060193,0.495215933,0.005946739,0.102200049,0.000592063
1001,0.360680633,0.202599632,0.269200608,0.022311297,0.140812112,0.004395718
902,0.427547421,0.267055741,0.176008031,0.009595967,0.118997999,0.000794841
26296,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
